movie_title,norm_title,year,critics_consensus,review_date,tomatometer_rating
The Stepfather,the stepfather,2009,This tepid remake of the 1987 cult classic lacks the tension and satirical undercurrents of the original.,2009-10-15,11.0
Okuribito (Departures),okuribito departures,2009,"If slow and predictable, Departures is a quiet, life affirming story.",2009-01-19,80.0
Boogie (Summer Holiday),boogie summer holiday,2009,"Tough, bittersweet and sharply observed Romanian drama, with impressive and intelligent directing.",2009-01-16,100.0
Prima Ballerina,prima ballerina,2009,"A straightforward documentary about five Russian ballerinas, Bertrand Normand's Ballerina is enlivened by a fairy-tale sensibility.",2009-01-14,81.0
Season of the Witch,season of the witch,2011,"Slow, cheap-looking, and dull, Season of the Witch fails even as unintentional comedy.",2011-01-02,11.0
Shuttle,shuttle,2008,"While this debut by Edward Anderson is economical and occasionally effective, Shuttle offers little catharsis after its tense ride.",2008-03-08,50.0
Miss March,miss march,2009,"Even by the modest standards of the teen sex comedy genre, the crass, poorly-madeMiss March misses the mark.",2009-03-11,5.0
An American Affair,an american affair,2009,"With a plot both undercooked and cliche riddled, An American Affair unsuccessfully mixes a coming-of-age story and a presidential conspiracy thriller.",2009-02-17,16.0
Grace,grace,2009,"Though not entirely effective as a conventional horror flick, Grace is still a graphic, disturbing, and artful exploration of twisted maternal instinct.",2009-02-02,71.0
The Red Baron (Der rote Baron),the red baron der rote baron,2008,"It doesn't lack ambition, and it boasts undeniably thrilling source material, but The Red Baron is brought down by its overly sentimental script and a number of historical inaccuracies.",2008-03-31,20.0
Happy Tears,happy tears,2009,"Replete with quirky indie cliches, Happy Tears wastes some fine performances from Demi Moore, Parker Posey, and Rip Torn on stale formula.",2009-02-06,27.0
Mammoth (Mammut),mammoth mammut,2009,"While it features a sterling cast, Mammoth's elephantine scope is too sprawling for it to maintain dramatic focus.",2009-02-13,45.0
Crude,crude,2009,"Dynamic, tightly arranged, and deliberately provocative, Joe Berlinger's Crude is a sobering, enraging wake-up call.",2009-06-29,95.0
The Messenger,the messenger,2009,A dark but timely subject is handled deftly by writer/directer Owen Moverman and superbly acted by Woody Harrleson and Ben Foster.,2009-10-08,90.0
Venkovský Ucitel (The Country Teacher),venkovský ucitel the country teacher,2008,Bohdan Slama's stunningly filmed dramedy is loaded with full-bodied characters and quietly sincere performances.,2008-03-20,81.0
The Apartment,the apartment,2000,"Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos.",2000-01-01,93.0
Fame,fame,2009,"Fame is ultimately undone by its choppy editing, its incomplete characterizations, and its apparent desire to appeal to the High School Musical generation.",2009-09-24,24.0
Outrage,outrage,2009,"Outrage walks a difficult moral and ethical line -- and not always successfully -- but despite its flaws, it's a fascinating, provocative look at homosexuality in American politics.",2009-04-28,77.0
Skin,skin,2009,"Sophie Okonedo, Sam Neill, and Alice Krige do wonderful work in Skin, delivering performances whose strength is underlined by the incredible real-life events upon which the movie is based.",2009-07-24,84.0
Helen,helen,2009,"This enigmatic debut British/Irish feature is beautifully photographed and has an intriguing premise, marking its makers out as talent to watch.",2009-05-01,67.0
Bakjwi (Thirst),bakjwi thirst,2009,The stylish Thirst packs plenty of bloody thrills to satisfy fans of both vampire films and director Chan Wook Park.,2009-04-30,81.0
Blood: The Last Vampire,blood the last vampire,2009,"Based on a classic anime series, Blood: The Last Vampire is a tedious, shoddily acted, amateurish picture that loses all charm in the transition to live-action.",2009-06-09,25.0
Shrink,shrink,2009,"Kevin Spacey's performance is almost sharp enough to save this Hollywood dramedy from itself, but in the end, he's dragged down by a cliched script and indifferent direction.",2009-07-21,27.0
Ong Bak 2,ong bak 2,2009,It suffers from comparisons to its predecessor -- not to mention Tony Jaa's less-than-nimble direction -- but Ong Bak 2 has all the extravagant violence and playful style that fans of the original will expect.,2009-07-20,48.0
Tron Legacy,tron legacy,2010,"Tron Legacy boasts dazzling visuals, but its human characters and story get lost amidst its state-of-the-art production design.",2010-10-16,51.0
Chloe,chloe,2009,"Despite its promising pedigree and a titillating premise, Chloe ultimately fails to deliver the heat -- or the thrills -- expected of a sexual thriller.",2009-09-18,51.0
The Hole,the hole,2009,"A welcome throwback to the suburban teen thrillers of the 1980s, The Hole is a scary, enjoyable return to form for director Joe Dante.",2009-09-13,81.0
High Life,high life,2009,"High Life is as visually arresting as it is challenging, confounding, and ultimately rewarding - which is to say it's everything film fans expect from director Claire Denis.",2009-09-15,80.0
Around the World in 80 Days,around the world in 80 days,1956,"It's undeniably shallow, but its cheerful lack of pretense -- as well as its grand scale and star-stuffed cast -- help make Around the World in 80 Days charmingly light-hearted entertainment.",1956-10-17,69.0
Wonderful World,wonderful world,2009,"Matthew Broderick gives an appealing performance and director Joshua Goldin's script contains unexpected bursts of honest emotion, but Wonderful World's good intentions can't make up for its lack of originality.",2009-12-30,42.0
